===================================================
Persepolis Download Manager, 2026/05/17 01:35:11
2026-05-17 01:36:27,301 - downloads - INFO - Server supports multi thread downloading and resuming download! - GID: 2264d0017c7be880
2026-05-17 01:36:27,337 - downloads - INFO - persepolis_lib is closed!
2026-05-17 01:36:27,651 - downloads - ERROR - Download failed - GID : 2264d0017c7be880- Message : Insufficient disk space!
2026-05-17 01:36:28,170 - downloads - ERROR - Download failed - GID : 2264d0017c7be880- Message : 
2026-05-17 01:36:58,864 - downloads - INFO - Server supports multi thread downloading and resuming download! - GID: 2264d0017c7be880
2026-05-17 01:39:57,292 - downloads - INFO - Download stopped - GID : 2264d0017c7be880
2026-05-17 01:39:58,106 - downloads - INFO - persepolis_lib is closed!
2026-05-17 02:33:44,644 - downloads - INFO - Server supports multi thread downloading and resuming download! - GID: 7cff18338962cc6e
2026-05-17 02:38:08,943 - downloads - INFO - Server supports multi thread downloading and resuming download! - GID: 464464d0edfea585
2026-05-17 02:38:33,477 - downloads - INFO - Download stopped - GID : 7cff18338962cc6e
2026-05-17 02:38:33,479 - downloads - INFO - Download stopped - GID : 464464d0edfea585
2026-05-17 02:38:33,527 - downloads - INFO - persepolis_lib is closed!
2026-05-17 02:38:34,114 - downloads - INFO - persepolis_lib is closed!
